IPN,Reference,Qty,Value,Exclude from BOM,Footprint,Package,MFN_1,MPN_1,LCSC_1
N/A,A1,1,RaspberryPi_Pico,,Module:RaspberryPi_Pico_SMD_HandSolder,,,,
CAP-000-1042,"C1,C2,C3,C4",4,100n,,0-CAP:FTP-CAP-0001,603,Samsung,CC0603KRX7R9BB104,"C14663, BASIC"
CAP-007-1061,"C5,C6,C7,C8,C11,C12",6,10u,,0-CAP:FTP-CAP-0002,805,Samsung,CL21A106KAYNNNE,C15850
CAP-001-1042,C9,1,100n,,0-CAP:FTP-CAP-0000,402,Samsung,CL05B104KB54PNC,C307331
CAP-003-1051,C10,1,1u,,0-CAP:FTP-CAP-0001,603,Samsung,CL10A105KB8NNNC,C15849
N/A,J1,1,Barrel_Jack_MountingPin,,Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal,,,,
N/A,J2,1,Conn_02x13_Odd_Even,,Connector_IDC:IDC-Header_2x13_P2.54mm_Vertical,,,,
CNT-123-0000,J3,1,CNT1230000,,0-CNT:FTP-CNT-0008,,Molex,22284030,"C587036, EXT"
N/A,J4,1,VAL,,Connector_Molex:Molex_KK-396_A-41792-0006_1x06_P3.96mm_Horizontal,,,,
CNT-122-0000,"J5,J6",2,CNT1220000,,0-CNT:FTP-CNT-0007,,Molex,22284020,"C234182, EXT"
IND-203-1202,L1,1,120Ω,,0-IND:FTP-IND-0002,603,Murata,BLM18PG121SN1D,C14709
IND-002-3304,L2,1,3.3u,,0-IND:FTP-IND-0000,4.0x4.0,Vishay,VLS4020CX-3R3M-H,C6745793
RES-006-5604,R1,1,56k,,0-RES:FTP-RES-0001,603,Stackpole Electronics,RNCF0603BTE56K0,C3958730
RES-006-1004,R2,1,10k,,0-RES:FTP-RES-0001,603,Stackpole Electronics,RNCF0603BTE10K0,C346560
RES-000-0000,R3,1,0,,0-RES:FTP-RES-0001,603,UNI-ROYAL,0603WAF0000T5E,"C21189, BASIC"
REG-122-0000,U1,1,REG1220000,,1-PACKAGES:Generic-SOT23-6,SOT23-6,Diodes Inc.,AP62150WU*,C3194237
ICS-002-0000,"U2,U3",2,ICS0020000,,1-PACKAGES:Generic-TSSOP-24_4.4x7.8mm_P0.65mm,TSSOP-24 (4.40mm),Nexperia,"74LVC4245APW,118","C6091, EXT"
